Epoch:0   Accuracy:14.74
Epoch:1   Accuracy:26.43
Epoch:2   Accuracy:27.94
Epoch:3   Accuracy:32.49
Epoch:4   Accuracy:34.12
Epoch:5   Accuracy:35.52
Epoch:6   Accuracy:30.60
Epoch:7   Accuracy:34.84
Epoch:8   Accuracy:36.90
Epoch:9   Accuracy:39.18
Epoch:10   Accuracy:37.72
Epoch:11   Accuracy:39.04
Epoch:12   Accuracy:35.27
Epoch:13   Accuracy:39.48
Epoch:14   Accuracy:38.28
Epoch:15   Accuracy:41.51
Epoch:16   Accuracy:42.33
Epoch:17   Accuracy:39.52
Epoch:18   Accuracy:41.38
Epoch:19   Accuracy:41.23
Epoch:20   Accuracy:40.75
Epoch:21   Accuracy:40.51
Epoch:22   Accuracy:41.89
Epoch:23   Accuracy:41.59
Epoch:24   Accuracy:40.01
Epoch:25   Accuracy:39.98
Epoch:26   Accuracy:36.44
Epoch:27   Accuracy:39.64
Epoch:28   Accuracy:41.20
Epoch:29   Accuracy:38.82
Epoch:30   Accuracy:37.49
Epoch:31   Accuracy:38.64
Epoch:32   Accuracy:38.99
Epoch:33   Accuracy:36.47
Epoch:34   Accuracy:37.02
Epoch:35   Accuracy:39.66
Epoch:36   Accuracy:33.62
Epoch:37   Accuracy:38.78
Epoch:38   Accuracy:35.75
Epoch:39   Accuracy:35.16
Epoch:40   Accuracy:36.36
Epoch:41   Accuracy:36.28
Epoch:42   Accuracy:35.04
Epoch:43   Accuracy:34.38
Epoch:44   Accuracy:35.44
Epoch:45   Accuracy:34.18
Epoch:46   Accuracy:30.57
Epoch:47   Accuracy:32.63
Epoch:48   Accuracy:29.98
Epoch:49   Accuracy:31.80
Epoch:50   Accuracy:28.13
Epoch:51   Accuracy:29.72
Epoch:52   Accuracy:30.21
Epoch:53   Accuracy:27.39
Epoch:54   Accuracy:28.44
Epoch:55   Accuracy:27.47
Epoch:56   Accuracy:28.35
Epoch:57   Accuracy:26.06
Epoch:58   Accuracy:29.02
Epoch:59   Accuracy:26.40
Epoch:60   Accuracy:23.56
Epoch:61   Accuracy:22.87
Epoch:62   Accuracy:27.42
Epoch:63   Accuracy:24.08
Epoch:64   Accuracy:23.51
Epoch:65   Accuracy:23.63
Epoch:66   Accuracy:22.44
Epoch:67   Accuracy:24.98
Epoch:68   Accuracy:20.99
Epoch:69   Accuracy:23.80
Epoch:70   Accuracy:22.34
Epoch:71   Accuracy:18.67
Epoch:72   Accuracy:21.58
Epoch:73   Accuracy:20.10
Epoch:74   Accuracy:21.72
Epoch:75   Accuracy:20.56
Epoch:76   Accuracy:20.37
Epoch:77   Accuracy:20.84
Epoch:78   Accuracy:19.61
Epoch:79   Accuracy:19.77
Epoch:80   Accuracy:21.49
Epoch:81   Accuracy:20.64
Epoch:82   Accuracy:21.72
Epoch:83   Accuracy:18.43
Epoch:84   Accuracy:17.32
Epoch:85   Accuracy:20.26
Epoch:86   Accuracy:18.07
Epoch:87   Accuracy:18.05
Epoch:88   Accuracy:18.25
Epoch:89   Accuracy:17.64
Epoch:90   Accuracy:20.09
Epoch:91   Accuracy:17.15
Epoch:92   Accuracy:19.58
Epoch:93   Accuracy:19.37
Epoch:94   Accuracy:18.84
Epoch:95   Accuracy:18.41
Epoch:96   Accuracy:17.75
Epoch:97   Accuracy:18.10
Epoch:98   Accuracy:18.00
Epoch:99   Accuracy:18.31
Epoch:100   Accuracy:19.01
Epoch:101   Accuracy:18.39
Epoch:102   Accuracy:17.50
Epoch:103   Accuracy:16.69
Epoch:104   Accuracy:17.07
Epoch:105   Accuracy:17.65
Epoch:106   Accuracy:17.40
Epoch:107   Accuracy:16.67
Epoch:108   Accuracy:15.20
Epoch:109   Accuracy:17.05
Epoch:110   Accuracy:16.04
Epoch:111   Accuracy:15.96
Epoch:112   Accuracy:17.70
Epoch:113   Accuracy:16.60
Epoch:114   Accuracy:17.67
Epoch:115   Accuracy:19.12
Epoch:116   Accuracy:17.97
Epoch:117   Accuracy:17.52
Epoch:118   Accuracy:18.50
Epoch:119   Accuracy:16.72
Epoch:120   Accuracy:18.73
Epoch:121   Accuracy:16.53
Epoch:122   Accuracy:15.74
Epoch:123   Accuracy:15.93
Epoch:124   Accuracy:15.50
Epoch:125   Accuracy:16.82
Epoch:126   Accuracy:18.20
Epoch:127   Accuracy:16.89
Epoch:128   Accuracy:16.50
Epoch:129   Accuracy:17.12
Epoch:130   Accuracy:15.67
Epoch:131   Accuracy:15.89
Epoch:132   Accuracy:15.96
Epoch:133   Accuracy:16.08
Epoch:134   Accuracy:16.10
Epoch:135   Accuracy:17.31
Epoch:136   Accuracy:16.64
Epoch:137   Accuracy:18.03
Epoch:138   Accuracy:17.50
Epoch:139   Accuracy:14.75
Epoch:140   Accuracy:17.00
Epoch:141   Accuracy:16.82
Epoch:142   Accuracy:16.46
Epoch:143   Accuracy:16.73
Epoch:144   Accuracy:17.76
Epoch:145   Accuracy:17.01
Epoch:146   Accuracy:16.31
Epoch:147   Accuracy:14.58
Epoch:148   Accuracy:15.96
Epoch:149   Accuracy:16.21
Epoch:150   Accuracy:17.38
Epoch:151   Accuracy:17.39
Epoch:152   Accuracy:17.05
Epoch:153   Accuracy:16.99
Epoch:154   Accuracy:17.13
Epoch:155   Accuracy:17.04
Epoch:156   Accuracy:17.38
Epoch:157   Accuracy:17.25
Epoch:158   Accuracy:16.79
Epoch:159   Accuracy:16.26
Epoch:160   Accuracy:16.99
Epoch:161   Accuracy:16.74
Epoch:162   Accuracy:17.06
Epoch:163   Accuracy:16.44
Epoch:164   Accuracy:17.27
Epoch:165   Accuracy:16.99
