Numer of labeled samples:7866   AUC:0.811
Numer of labeled samples:7591   AUC:0.810
Numer of labeled samples:9053   AUC:0.879
Numer of labeled samples:9139   AUC:0.877
Numer of labeled samples:10803   AUC:0.892
Numer of labeled samples:10472   AUC:0.889
Numer of labeled samples:11287   AUC:0.899
Numer of labeled samples:11458   AUC:0.902
Numer of labeled samples:11611   AUC:0.902
Numer of labeled samples:11848   AUC:0.905
Numer of labeled samples:12314   AUC:0.909
Numer of labeled samples:11910   AUC:0.909
Numer of labeled samples:12229   AUC:0.913
Numer of labeled samples:12426   AUC:0.913
Numer of labeled samples:12672   AUC:0.915
Numer of labeled samples:12820   AUC:0.919
Numer of labeled samples:12565   AUC:0.919
Numer of labeled samples:12614   AUC:0.921
Numer of labeled samples:12708   AUC:0.920
Numer of labeled samples:12702   AUC:0.924
Numer of labeled samples:12744   AUC:0.927
Numer of labeled samples:12922   AUC:0.925
Numer of labeled samples:13007   AUC:0.929
Numer of labeled samples:13043   AUC:0.930
Numer of labeled samples:12913   AUC:0.931
Numer of labeled samples:13013   AUC:0.931
Numer of labeled samples:13085   AUC:0.931
Numer of labeled samples:13184   AUC:0.930
Numer of labeled samples:13276   AUC:0.930
Numer of labeled samples:13160   AUC:0.933
Numer of labeled samples:13143   AUC:0.935
Numer of labeled samples:13348   AUC:0.934
Numer of labeled samples:13125   AUC:0.933
Numer of labeled samples:13241   AUC:0.934
Numer of labeled samples:13255   AUC:0.937
Numer of labeled samples:13323   AUC:0.933
Numer of labeled samples:13065   AUC:0.935
Numer of labeled samples:13345   AUC:0.937
Numer of labeled samples:13151   AUC:0.937
Numer of labeled samples:13039   AUC:0.939
Numer of labeled samples:13221   AUC:0.943
Numer of labeled samples:13089   AUC:0.939
Numer of labeled samples:13185   AUC:0.941
Numer of labeled samples:13015   AUC:0.941
Numer of labeled samples:13055   AUC:0.940
Numer of labeled samples:13265   AUC:0.938
Numer of labeled samples:13126   AUC:0.941
Numer of labeled samples:13331   AUC:0.941
Numer of labeled samples:13247   AUC:0.941
Numer of labeled samples:13206   AUC:0.938
Numer of labeled samples:13155   AUC:0.941
Numer of labeled samples:13278   AUC:0.941
Numer of labeled samples:13383   AUC:0.940
Numer of labeled samples:13190   AUC:0.940
Numer of labeled samples:13128   AUC:0.944
Numer of labeled samples:13230   AUC:0.939
Numer of labeled samples:13233   AUC:0.943
Numer of labeled samples:13270   AUC:0.942
Numer of labeled samples:13095   AUC:0.941
Numer of labeled samples:13171   AUC:0.943
Numer of labeled samples:13157   AUC:0.940
Numer of labeled samples:13043   AUC:0.942
Numer of labeled samples:13204   AUC:0.942
