Numer of labeled samples:24564   AUC:0.952
Numer of labeled samples:24550   AUC:0.954
Numer of labeled samples:25635   AUC:0.969
Numer of labeled samples:24732   AUC:0.966
Numer of labeled samples:24524   AUC:0.968
Numer of labeled samples:24260   AUC:0.967
Numer of labeled samples:24409   AUC:0.971
Numer of labeled samples:24002   AUC:0.969
Numer of labeled samples:24267   AUC:0.973
Numer of labeled samples:24158   AUC:0.974
Numer of labeled samples:24326   AUC:0.973
Numer of labeled samples:24065   AUC:0.973
Numer of labeled samples:24649   AUC:0.972
Numer of labeled samples:24351   AUC:0.974
Numer of labeled samples:24511   AUC:0.977
Numer of labeled samples:24558   AUC:0.973
Numer of labeled samples:24520   AUC:0.977
Numer of labeled samples:24301   AUC:0.976
Numer of labeled samples:24613   AUC:0.978
Numer of labeled samples:24716   AUC:0.979
Numer of labeled samples:24673   AUC:0.978
Numer of labeled samples:24444   AUC:0.975
Numer of labeled samples:24717   AUC:0.978
Numer of labeled samples:24727   AUC:0.981
Numer of labeled samples:24849   AUC:0.982
Numer of labeled samples:24621   AUC:0.980
Numer of labeled samples:24764   AUC:0.981
Numer of labeled samples:24826   AUC:0.980
Numer of labeled samples:24775   AUC:0.980
Numer of labeled samples:24859   AUC:0.981
Numer of labeled samples:25090   AUC:0.983
Numer of labeled samples:24936   AUC:0.981
Numer of labeled samples:25282   AUC:0.984
Numer of labeled samples:24771   AUC:0.981
Numer of labeled samples:25109   AUC:0.982
Numer of labeled samples:25374   AUC:0.981
Numer of labeled samples:25252   AUC:0.983
Numer of labeled samples:25199   AUC:0.983
Numer of labeled samples:25410   AUC:0.985
Numer of labeled samples:25396   AUC:0.984
Numer of labeled samples:25340   AUC:0.984
Numer of labeled samples:25530   AUC:0.987
Numer of labeled samples:25393   AUC:0.985
Numer of labeled samples:25368   AUC:0.985
Numer of labeled samples:25520   AUC:0.986
Numer of labeled samples:25476   AUC:0.987
Numer of labeled samples:25510   AUC:0.985
Numer of labeled samples:25396   AUC:0.986
Numer of labeled samples:25523   AUC:0.986
Numer of labeled samples:25489   AUC:0.987
Numer of labeled samples:25706   AUC:0.985
Numer of labeled samples:25694   AUC:0.987
Numer of labeled samples:25614   AUC:0.987
Numer of labeled samples:25423   AUC:0.986
Numer of labeled samples:25637   AUC:0.984
Numer of labeled samples:25760   AUC:0.986
Numer of labeled samples:25763   AUC:0.988
Numer of labeled samples:25575   AUC:0.987
Numer of labeled samples:25451   AUC:0.987
Numer of labeled samples:25724   AUC:0.987
Numer of labeled samples:25831   AUC:0.989
Numer of labeled samples:25779   AUC:0.986
Numer of labeled samples:25905   AUC:0.989
Numer of labeled samples:25607   AUC:0.987
Numer of labeled samples:25942   AUC:0.990
Numer of labeled samples:25804   AUC:0.988
Numer of labeled samples:26052   AUC:0.989
Numer of labeled samples:25833   AUC:0.988
Numer of labeled samples:25922   AUC:0.990
Numer of labeled samples:25885   AUC:0.988
Numer of labeled samples:26007   AUC:0.989
Numer of labeled samples:25906   AUC:0.990
Numer of labeled samples:25853   AUC:0.989
Numer of labeled samples:25923   AUC:0.990
Numer of labeled samples:26133   AUC:0.990
Numer of labeled samples:25896   AUC:0.989
Numer of labeled samples:26051   AUC:0.990
Numer of labeled samples:25992   AUC:0.989
Numer of labeled samples:26113   AUC:0.989
Numer of labeled samples:25973   AUC:0.990
Numer of labeled samples:26173   AUC:0.991
Numer of labeled samples:26408   AUC:0.989
Numer of labeled samples:26114   AUC:0.989
Numer of labeled samples:26127   AUC:0.991
Numer of labeled samples:25953   AUC:0.990
Numer of labeled samples:25948   AUC:0.988
Numer of labeled samples:26004   AUC:0.990
Numer of labeled samples:25959   AUC:0.990
Numer of labeled samples:26309   AUC:0.990
Numer of labeled samples:26110   AUC:0.989
Numer of labeled samples:26039   AUC:0.990
Numer of labeled samples:26018   AUC:0.990
Numer of labeled samples:25953   AUC:0.988
Numer of labeled samples:25965   AUC:0.988
Numer of labeled samples:26228   AUC:0.989
Numer of labeled samples:26030   AUC:0.990
Numer of labeled samples:26082   AUC:0.989
Numer of labeled samples:26022   AUC:0.990
Numer of labeled samples:26033   AUC:0.990
Numer of labeled samples:26101   AUC:0.990
Numer of labeled samples:26041   AUC:0.990
Numer of labeled samples:26235   AUC:0.989
Numer of labeled samples:26056   AUC:0.989
