Epoch:0   Accuracy:33.15
Epoch:1   Accuracy:38.61
Epoch:2   Accuracy:41.54
Epoch:3   Accuracy:45.19
Epoch:4   Accuracy:47.42
Epoch:5   Accuracy:46.89
Epoch:6   Accuracy:48.08
Epoch:7   Accuracy:52.80
Epoch:8   Accuracy:53.27
Epoch:9   Accuracy:53.32
Epoch:10   Accuracy:54.46
Epoch:11   Accuracy:55.01
Epoch:12   Accuracy:54.38
Epoch:13   Accuracy:57.25
Epoch:14   Accuracy:59.58
Epoch:15   Accuracy:60.78
Epoch:16   Accuracy:61.23
Epoch:17   Accuracy:63.34
Epoch:18   Accuracy:64.90
Epoch:19   Accuracy:65.75
Epoch:20   Accuracy:65.51
Epoch:21   Accuracy:67.37
Epoch:22   Accuracy:68.55
Epoch:23   Accuracy:67.92
Epoch:24   Accuracy:67.93
Epoch:25   Accuracy:69.62
Epoch:26   Accuracy:71.62
Epoch:27   Accuracy:72.24
Epoch:28   Accuracy:73.52
Epoch:29   Accuracy:74.05
Epoch:30   Accuracy:74.70
Epoch:31   Accuracy:74.07
Epoch:32   Accuracy:74.46
Epoch:33   Accuracy:75.11
Epoch:34   Accuracy:76.15
Epoch:35   Accuracy:77.21
Epoch:36   Accuracy:77.29
Epoch:37   Accuracy:76.86
Epoch:38   Accuracy:76.93
Epoch:39   Accuracy:78.81
Epoch:40   Accuracy:79.78
Epoch:41   Accuracy:80.08
Epoch:42   Accuracy:79.63
Epoch:43   Accuracy:80.48
Epoch:44   Accuracy:80.65
Epoch:45   Accuracy:80.55
Epoch:46   Accuracy:81.34
Epoch:47   Accuracy:81.59
Epoch:48   Accuracy:81.50
Epoch:49   Accuracy:81.86
Epoch:50   Accuracy:82.71
Epoch:51   Accuracy:83.91
Epoch:52   Accuracy:84.03
Epoch:53   Accuracy:84.79
Epoch:54   Accuracy:84.69
Epoch:55   Accuracy:84.18
Epoch:56   Accuracy:84.59
Epoch:57   Accuracy:85.20
Epoch:58   Accuracy:84.18
Epoch:59   Accuracy:84.25
Epoch:60   Accuracy:84.89
Epoch:61   Accuracy:85.28
Epoch:62   Accuracy:85.92
Epoch:63   Accuracy:86.39
Epoch:64   Accuracy:85.99
Epoch:65   Accuracy:86.48
Epoch:66   Accuracy:87.51
Epoch:67   Accuracy:86.72
Epoch:68   Accuracy:86.77
Epoch:69   Accuracy:87.21
Epoch:70   Accuracy:87.66
Epoch:71   Accuracy:87.49
Epoch:72   Accuracy:87.44
Epoch:73   Accuracy:87.39
Epoch:74   Accuracy:87.34
Epoch:75   Accuracy:87.34
Epoch:76   Accuracy:87.83
Epoch:77   Accuracy:87.81
Epoch:78   Accuracy:87.64
Epoch:79   Accuracy:87.81
Epoch:80   Accuracy:88.79
Epoch:81   Accuracy:88.56
Epoch:82   Accuracy:88.14
Epoch:83   Accuracy:87.58
Epoch:84   Accuracy:87.30
Epoch:85   Accuracy:87.89
Epoch:86   Accuracy:88.70
Epoch:87   Accuracy:88.11
Epoch:88   Accuracy:89.23
Epoch:89   Accuracy:88.85
Epoch:90   Accuracy:88.80
Epoch:91   Accuracy:88.91
Epoch:92   Accuracy:89.05
Epoch:93   Accuracy:89.15
Epoch:94   Accuracy:89.95
Epoch:95   Accuracy:89.53
Epoch:96   Accuracy:89.29
Epoch:97   Accuracy:88.94
Epoch:98   Accuracy:89.24
Epoch:99   Accuracy:89.26
Epoch:100   Accuracy:88.87
Epoch:101   Accuracy:89.78
Epoch:102   Accuracy:89.83
Epoch:103   Accuracy:89.71
Epoch:104   Accuracy:88.88
Epoch:105   Accuracy:89.87
Epoch:106   Accuracy:89.64
Epoch:107   Accuracy:89.09
Epoch:108   Accuracy:89.96
Epoch:109   Accuracy:89.89
Epoch:110   Accuracy:89.88
Epoch:111   Accuracy:90.51
Epoch:112   Accuracy:90.05
Epoch:113   Accuracy:90.61
Epoch:114   Accuracy:90.24
Epoch:115   Accuracy:90.56
Epoch:116   Accuracy:90.55
Epoch:117   Accuracy:90.72
Epoch:118   Accuracy:90.24
Epoch:119   Accuracy:90.35
Epoch:120   Accuracy:90.76
Epoch:121   Accuracy:90.23
Epoch:122   Accuracy:90.59
Epoch:123   Accuracy:90.63
Epoch:124   Accuracy:89.87
Epoch:125   Accuracy:90.77
Epoch:126   Accuracy:90.73
Epoch:127   Accuracy:90.63
Epoch:128   Accuracy:90.96
Epoch:129   Accuracy:90.85
Epoch:130   Accuracy:90.13
Epoch:131   Accuracy:90.67
Epoch:132   Accuracy:90.33
Epoch:133   Accuracy:90.54
Epoch:134   Accuracy:91.17
Epoch:135   Accuracy:90.91
Epoch:136   Accuracy:90.47
Epoch:137   Accuracy:90.76
Epoch:138   Accuracy:90.89
Epoch:139   Accuracy:91.33
Epoch:140   Accuracy:91.00
Epoch:141   Accuracy:90.75
Epoch:142   Accuracy:90.48
Epoch:143   Accuracy:91.10
Epoch:144   Accuracy:91.21
Epoch:145   Accuracy:91.14
Epoch:146   Accuracy:90.59
Epoch:147   Accuracy:91.04
Epoch:148   Accuracy:90.53
Epoch:149   Accuracy:90.92
Epoch:150   Accuracy:91.87
Epoch:151   Accuracy:92.01
Epoch:152   Accuracy:92.12
Epoch:153   Accuracy:92.34
Epoch:154   Accuracy:92.39
Epoch:155   Accuracy:92.32
Epoch:156   Accuracy:92.42
Epoch:157   Accuracy:92.34
Epoch:158   Accuracy:92.57
Epoch:159   Accuracy:92.50
Epoch:160   Accuracy:92.47
Epoch:161   Accuracy:92.55
Epoch:162   Accuracy:92.43
Epoch:163   Accuracy:92.41
Epoch:164   Accuracy:92.58
Epoch:165   Accuracy:92.57
Epoch:166   Accuracy:92.69
Epoch:167   Accuracy:92.83
Epoch:168   Accuracy:92.82
Epoch:169   Accuracy:92.73
Epoch:170   Accuracy:92.73
Epoch:171   Accuracy:92.72
Epoch:172   Accuracy:92.74
Epoch:173   Accuracy:92.83
Epoch:174   Accuracy:92.76
Epoch:175   Accuracy:92.81
Epoch:176   Accuracy:92.73
Epoch:177   Accuracy:92.92
Epoch:178   Accuracy:92.70
Epoch:179   Accuracy:92.89
Epoch:180   Accuracy:92.66
Epoch:181   Accuracy:92.84
Epoch:182   Accuracy:92.83
Epoch:183   Accuracy:92.62
Epoch:184   Accuracy:93.14
Epoch:185   Accuracy:92.98
Epoch:186   Accuracy:92.81
Epoch:187   Accuracy:92.89
Epoch:188   Accuracy:92.90
Epoch:189   Accuracy:93.08
Epoch:190   Accuracy:93.01
Epoch:191   Accuracy:92.95
Epoch:192   Accuracy:92.79
Epoch:193   Accuracy:92.99
Epoch:194   Accuracy:92.89
Epoch:195   Accuracy:93.10
Epoch:196   Accuracy:93.12
Epoch:197   Accuracy:92.88
Epoch:198   Accuracy:92.89
Epoch:199   Accuracy:93.05
Epoch:200   Accuracy:92.98
Epoch:201   Accuracy:92.92
Epoch:202   Accuracy:93.04
Epoch:203   Accuracy:92.97
Epoch:204   Accuracy:93.00
Epoch:205   Accuracy:92.91
Epoch:206   Accuracy:93.07
Epoch:207   Accuracy:93.19
Epoch:208   Accuracy:92.48
Epoch:209   Accuracy:93.10
Epoch:210   Accuracy:93.02
Epoch:211   Accuracy:93.18
Epoch:212   Accuracy:93.18
Epoch:213   Accuracy:93.02
Epoch:214   Accuracy:93.04
Epoch:215   Accuracy:93.23
Epoch:216   Accuracy:93.09
Epoch:217   Accuracy:93.23
Epoch:218   Accuracy:93.23
