Numer of labeled samples:35656   AUC:0.916
Numer of labeled samples:34613   AUC:0.910
Numer of labeled samples:36523   AUC:0.976
Numer of labeled samples:36372   AUC:0.975
Numer of labeled samples:36612   AUC:0.978
Numer of labeled samples:36109   AUC:0.979
Numer of labeled samples:35260   AUC:0.980
Numer of labeled samples:35753   AUC:0.981
Numer of labeled samples:36098   AUC:0.982
Numer of labeled samples:35142   AUC:0.981
Numer of labeled samples:34870   AUC:0.980
Numer of labeled samples:34940   AUC:0.981
Numer of labeled samples:34965   AUC:0.982
Numer of labeled samples:34706   AUC:0.982
Numer of labeled samples:35110   AUC:0.982
Numer of labeled samples:35022   AUC:0.982
Numer of labeled samples:34154   AUC:0.983
Numer of labeled samples:34532   AUC:0.983
Numer of labeled samples:34463   AUC:0.983
Numer of labeled samples:34004   AUC:0.982
Numer of labeled samples:34085   AUC:0.983
Numer of labeled samples:34028   AUC:0.982
Numer of labeled samples:33978   AUC:0.982
Numer of labeled samples:33869   AUC:0.982
Numer of labeled samples:33744   AUC:0.981
Numer of labeled samples:33854   AUC:0.982
Numer of labeled samples:34161   AUC:0.983
Numer of labeled samples:33662   AUC:0.981
Numer of labeled samples:33754   AUC:0.984
Numer of labeled samples:33881   AUC:0.982
Numer of labeled samples:33702   AUC:0.983
Numer of labeled samples:33514   AUC:0.982
Numer of labeled samples:33505   AUC:0.983
Numer of labeled samples:33779   AUC:0.983
Numer of labeled samples:33553   AUC:0.983
Numer of labeled samples:33229   AUC:0.982
Numer of labeled samples:33001   AUC:0.982
Numer of labeled samples:33426   AUC:0.982
Numer of labeled samples:33508   AUC:0.982
Numer of labeled samples:33083   AUC:0.983
Numer of labeled samples:33380   AUC:0.982
Numer of labeled samples:33234   AUC:0.982
Numer of labeled samples:33317   AUC:0.982
Numer of labeled samples:32824   AUC:0.981
Numer of labeled samples:32990   AUC:0.982
Numer of labeled samples:32922   AUC:0.981
Numer of labeled samples:32742   AUC:0.981
Numer of labeled samples:33210   AUC:0.982
Numer of labeled samples:32851   AUC:0.982
Numer of labeled samples:32884   AUC:0.981
Numer of labeled samples:32941   AUC:0.982
Numer of labeled samples:32833   AUC:0.983
Numer of labeled samples:33587   AUC:0.974
Numer of labeled samples:32849   AUC:0.982
Numer of labeled samples:33028   AUC:0.982
Numer of labeled samples:33237   AUC:0.983
Numer of labeled samples:32765   AUC:0.981
Numer of labeled samples:33489   AUC:0.981
Numer of labeled samples:33433   AUC:0.981
Numer of labeled samples:32800   AUC:0.983
Numer of labeled samples:32846   AUC:0.982
Numer of labeled samples:32947   AUC:0.981
Numer of labeled samples:32768   AUC:0.982
Numer of labeled samples:32651   AUC:0.983
Numer of labeled samples:32625   AUC:0.982
Numer of labeled samples:32647   AUC:0.982
Numer of labeled samples:32828   AUC:0.982
Numer of labeled samples:32640   AUC:0.982
Numer of labeled samples:32597   AUC:0.983
Numer of labeled samples:32467   AUC:0.982
Numer of labeled samples:32937   AUC:0.981
Numer of labeled samples:32942   AUC:0.982
Numer of labeled samples:32833   AUC:0.983
Numer of labeled samples:32708   AUC:0.982
Numer of labeled samples:32590   AUC:0.980
Numer of labeled samples:32516   AUC:0.978
Numer of labeled samples:32701   AUC:0.981
Numer of labeled samples:32422   AUC:0.981
Numer of labeled samples:32823   AUC:0.982
Numer of labeled samples:32760   AUC:0.983
Numer of labeled samples:32674   AUC:0.983
Numer of labeled samples:32313   AUC:0.981
Numer of labeled samples:32537   AUC:0.984
Numer of labeled samples:32751   AUC:0.981
Numer of labeled samples:32763   AUC:0.984
Numer of labeled samples:32651   AUC:0.983
Numer of labeled samples:32776   AUC:0.982
Numer of labeled samples:32596   AUC:0.983
Numer of labeled samples:32614   AUC:0.982
Numer of labeled samples:32512   AUC:0.982
Numer of labeled samples:32636   AUC:0.982
Numer of labeled samples:32883   AUC:0.982
Numer of labeled samples:32597   AUC:0.982
Numer of labeled samples:32853   AUC:0.983
Numer of labeled samples:32806   AUC:0.983
Numer of labeled samples:32588   AUC:0.982
Numer of labeled samples:32702   AUC:0.982
Numer of labeled samples:32426   AUC:0.982
Numer of labeled samples:32814   AUC:0.984
Numer of labeled samples:32662   AUC:0.983
Numer of labeled samples:32797   AUC:0.982
Numer of labeled samples:32547   AUC:0.983
Numer of labeled samples:32817   AUC:0.983
Numer of labeled samples:32642   AUC:0.982
Numer of labeled samples:32927   AUC:0.982
Numer of labeled samples:32527   AUC:0.983
Numer of labeled samples:33008   AUC:0.982
Numer of labeled samples:32432   AUC:0.981
Numer of labeled samples:32978   AUC:0.982
Numer of labeled samples:32910   AUC:0.982
Numer of labeled samples:32722   AUC:0.982
Numer of labeled samples:32933   AUC:0.982
Numer of labeled samples:32976   AUC:0.983
Numer of labeled samples:32594   AUC:0.982
Numer of labeled samples:32987   AUC:0.981
Numer of labeled samples:32521   AUC:0.982
Numer of labeled samples:32962   AUC:0.981
Numer of labeled samples:32320   AUC:0.982
Numer of labeled samples:32431   AUC:0.982
Numer of labeled samples:32598   AUC:0.981
Numer of labeled samples:33285   AUC:0.982
Numer of labeled samples:32462   AUC:0.982
Numer of labeled samples:32601   AUC:0.983
Numer of labeled samples:32890   AUC:0.982
Numer of labeled samples:33118   AUC:0.984
Numer of labeled samples:32790   AUC:0.982
Numer of labeled samples:32989   AUC:0.983
Numer of labeled samples:32745   AUC:0.983
Numer of labeled samples:33129   AUC:0.984
Numer of labeled samples:32752   AUC:0.983
Numer of labeled samples:32762   AUC:0.984
Numer of labeled samples:32799   AUC:0.983
