Numer of labeled samples:24014   AUC:0.907
Numer of labeled samples:23957   AUC:0.916
Numer of labeled samples:23424   AUC:0.967
Numer of labeled samples:23790   AUC:0.967
Numer of labeled samples:23569   AUC:0.973
Numer of labeled samples:23602   AUC:0.972
Numer of labeled samples:23749   AUC:0.974
Numer of labeled samples:23786   AUC:0.974
Numer of labeled samples:23285   AUC:0.976
Numer of labeled samples:23618   AUC:0.973
Numer of labeled samples:23315   AUC:0.974
Numer of labeled samples:23107   AUC:0.976
Numer of labeled samples:23004   AUC:0.977
Numer of labeled samples:23144   AUC:0.974
Numer of labeled samples:22696   AUC:0.977
Numer of labeled samples:22780   AUC:0.976
Numer of labeled samples:22790   AUC:0.977
Numer of labeled samples:22633   AUC:0.977
Numer of labeled samples:22766   AUC:0.977
Numer of labeled samples:22557   AUC:0.976
Numer of labeled samples:22590   AUC:0.977
Numer of labeled samples:22282   AUC:0.977
Numer of labeled samples:22203   AUC:0.977
Numer of labeled samples:22410   AUC:0.977
Numer of labeled samples:22138   AUC:0.979
Numer of labeled samples:22185   AUC:0.978
Numer of labeled samples:22138   AUC:0.979
Numer of labeled samples:22118   AUC:0.977
Numer of labeled samples:22201   AUC:0.979
Numer of labeled samples:22095   AUC:0.979
Numer of labeled samples:22028   AUC:0.979
Numer of labeled samples:22135   AUC:0.978
Numer of labeled samples:22271   AUC:0.979
Numer of labeled samples:21753   AUC:0.980
Numer of labeled samples:22123   AUC:0.979
Numer of labeled samples:22059   AUC:0.978
Numer of labeled samples:21954   AUC:0.980
Numer of labeled samples:22031   AUC:0.980
Numer of labeled samples:21896   AUC:0.978
Numer of labeled samples:21977   AUC:0.978
Numer of labeled samples:21899   AUC:0.979
Numer of labeled samples:22048   AUC:0.978
Numer of labeled samples:21871   AUC:0.979
Numer of labeled samples:21756   AUC:0.978
Numer of labeled samples:21632   AUC:0.978
Numer of labeled samples:21699   AUC:0.978
Numer of labeled samples:21933   AUC:0.977
Numer of labeled samples:21765   AUC:0.978
Numer of labeled samples:21604   AUC:0.978
Numer of labeled samples:21962   AUC:0.980
Numer of labeled samples:21841   AUC:0.979
Numer of labeled samples:21739   AUC:0.978
Numer of labeled samples:21711   AUC:0.979
